马克思　恩格斯：《共产党宣言》	Manifest der Kommunistischen Partei Karl MarxFriedrich Engels
1893年2月1日于伦敦	Veröffentlicht im Februar 1848.
共产党宣言	Manifest der Kommunistischen Partei.
一个幽灵，共产主义的幽灵，在欧洲徘徊。	Ein Gespenst geht um in Europa – das Gespenst des Kommunismus.
旧欧洲的一切势力，教皇和沙皇、梅特涅和基佐、法国的激进党人和德国的警察，都为驱除这个幽灵而结成了神圣同盟。	Alle Mächte des alten Europa haben sich zu einer heiligen Hetzjagd gegen dies Gespenst verbündet, der Papst und der Zar, Metternich und Guizot, französische Radikale und deutsche Polizisten.
有哪一个反对党不被它的当政的敌人骂为共产党呢？又有哪一个反对党不拿共产主义这个罪名去回敬更进步的反对党人和自己的反动敌人呢？	Wo ist die Oppositionspartei, die nicht von ihren regierenden Gegnern als kommunistisch verschrieen worden wäre, wo die Oppositionspartei, die den fortgeschritteneren Oppositionsleuten sowohl, wie ihren reaktionären Gegnern den brandmarkenden Vorwurf des Kommunismus nicht zurückgeschleudert hätte?
从这一事实中可以得出两个结论：	Zweierlei geht aus dieser Thatsache hervor.
共产主义已经被欧洲的一切势力公认为一种势力；	Der Kommunismus wird bereits von allen europäischen Mächten als eine Macht anerkannt.
现在是共产党人向全世界公开说明自己的观点、自己的目的、自己的意图并且拿党自己的宣言来对抗关于共产主义幽灵的神话的时候了。	Es ist hohe Zeit daß die Kommunisten ihre Anschauungsweise, ihre Zwecke, ihre Tendenzen vor der ganzen Welt offen darlegen, und den Mährchen vom Gespenst des Kommunismus ein Manifest der Partei selbst entgegenstellen.
为了这个目的，各国共产党人集会于伦敦，拟定了如下的宣言，用英文、法文、德文、意大利文、佛来米文和丹麦文公布于世。	Zu diesem Zweck haben sich Kommunisten der verschiedensten Nationalität in London versammelt und das folgende Manifest entworfen, das in englischer, französischer, deutscher, italienischer, flämmischer und dänischer Sprache veröffentlicht wird.
一、资产者和无产者	I. Bourgeois und Proletarier.
到目前为止的一切社会的历史都是阶级斗争的历史。	Die Geschichte aller bisherigen Gesellschaft ist die Geschichte von Klassenkämpfen.
自由民和奴隶、贵族和平民、领主和农奴、行会师傅和帮工，一句话，压迫者和被压迫者，始终处于相互对立的地位，进行不断的、有时隐蔽有时公开的斗争，而每一次斗争的结局是整个社会受到革命改造或者斗争的各阶级同归于尽。	Freier und Sklave, Patrizier und Plebejer, Baron und Leibeigner, Zunftbürger und Gesell, kurz, Unterdrücker und Unterdrückte standen in stetem Gegensatz zu einander, führten einen ununterbrochenen, bald versteckten bald offenen Kampf, einen Kampf, der jedesmal mit einer revolutionären Umgestaltung der ganzen Gesellschaft endete, oder mit dem gemeinsamen Untergang der kämpfenden Klassen.
在过去的各个历史时代，我们几乎到处都可以看到社会完全划分为各个不同的等级，看到由各种社会地位构成的多级的阶梯。	In den früheren Epochen der Geschichte finden wir fast überall eine vollständige Gliederung der Gesellschaft in verschiedene Stände, eine mannichfaltige Abstufung der gesellschaftlichen Stellungen.
在古罗马，有贵族、骑士、平民、奴隶，在中世纪，有封建领主、陪臣、行会师傅、帮工、农奴，而且几乎在每一个阶级内部又有各种独特的等第。	Im alten Rom haben wir Patrizier, [4] Ritter, Plebejer, Sklaven; im Mittelalter Feudalherren, Vasallen, Zunftbürger, Gesellen, Leibeigene, und noch dazu in fast jeder dieser Klassen wieder besondere Abstufungen.
从封建社会的灭亡中产生出来的现代资产阶级社会并没有消灭阶级对立。	Die aus dem Untergange der feudalen Gesellschaft hervorgegangene moderne bürgerliche Gesellschaft hat die Klassengegensätze nicht aufgehoben.
它只是用新的阶级、新的压迫条件、新的斗争形式代替了旧的。	Sie hat nur neue Klassen, neue Bedingungen der Unterdrückung, neue Gestaltungen des Kampfes an die Stelle der alten gesetzt.
但是，我们的时代，资产阶级时代，却有一个特点：它使阶级对立简单化了。整个社会日益分裂为两大敌对的阵营，分裂为两大相互直接对立的阶级：资产阶级和无产阶级。	Unsere Epoche, die Epoche der Bourgeoisie, zeichnet sich jedoch dadurch aus, daß sie die Klassengegensätze vereinfacht hat. Die ganze Gesellschaft spaltet sich mehr und mehr in zwei große feindliche Lager, in zwei große einander direkt gegenüberstehende Klassen – Bourgeoisie und Proletariat.
从中世纪的农奴中产生了初期城市的城关市民；从这个市民等级中发展出最初的资产阶级分子。	Aus den Leibeigenen des Mittelalters gingen die Pfahlbürger der ersten Städte hervor; aus dieser Pfahlbürgerschaft entwickelten sich die ersten Elemente der Bourgeoisie.
美洲的发现、绕过非洲的航行，给新兴的资产阶级开辟了新的活动场所。	Die Entdeckung Amerika’s, die Umschiffung Afrika’s, schufen der aufkommenden Bourgeoisie ein neues Terrain.
东印度和中国的市场、美洲的殖民化、对殖民地的贸易、交换手段和一般的商品的增加，使商业、航海业和工业空前高涨，因而使正在崩溃的封建社会内部的革命因素迅速发展。	Der ostindische und chinesische Markt, die Kolonisirung von Amerika, der Austausch mit den Kolonien, die Vermehrung der Tauschmittel und der Waaren überhaupt gaben dem Handel, der Schifffahrt, der Industrie einen niegekannten Aufschwung, und damit dem revolutionären Element in der zerfallenden feudalen Gesellschaft eine rasche Entwicklung.
以前那种封建的或行会的工业经营方式已经不能满足随着新市场的出现而增加的需求了。	Die bisherige feudale oder zünftige Betriebsweise der Industrie reichte nicht mehr aus für den mit den neuen Märkten anwachsenden Bedarf.
工场手工业代替了这种经营方式。	Die Manufaktur trat an ihre Stelle.
